x,Video Title,Video Reference,Priority Script ,Verbal Hook,Text hook,Caption,Hashtags,Poll Topic,Date recorded,Script,Editing ,Video link,Approved ,With captions,Thumbnail link,Charlotte Socials,,,,View,Like,Comment,Post to socials,Date posted (Pie),Date posted (Char),SEG sales,Date posted (PodCast),Carousel,Carousel doc/ Story ,Figma image files,Carousel Posted,,Video key feedback,Date posted (Char),Date posted (Pie)
Meme Video,celebration,MV29,FALSE,,,,,,,,,,TRUE,celebration,celeb meme,FALSE,TRUE,FALSE,FALSE,,,,,1/31/2025,,,,,,,FALSE,FALSE,,,
Meme Video,crypto reality check,MV30,FALSE,,,"At least I have my NFTs, right? #CryptoFail #NFTNightmare #InvestmentRegrets #CryptoMarketCrash #TaxMemeLife #InvestmentHumour #FinancialFails #CryptoRollercoaster #SelfEmployedStruggles #InvestmentLessons ",,,,,,,TRUE,crypto reality check,Crypto Reality,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,FALSE,FALSE,,,
Meme Video,ape calling,MV31,FALSE,,,"Am I getting an extension, or just a panic attack? #TaxPanic #HMRCExtension #LastMinuteSubmission #TaxDeadlineDrama #TaxStruggle #ExtensionPlease #TaxTimeNightmare #ProcrastiNation #HMRCHelpline",,,,,,,TRUE,ape calling,Ape calling,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,FALSE,FALSE,,,
Meme Video,last minute tax sprint,MV32,FALSE,,,Time to channel my inner Usain Bolt... with paperwork. #selfemployedUK #selfassessment #taxseason #UKbusiness #HMRC #taxtips #selfemployedlife #smallbizproblems #ukbusinessowner #accountinghumour #entrepreneurlife #taxrefund #ukbills #selemployedstruggles #businessmemes ,,,,,,,TRUE,last minute tax sprint,meme tax sprint,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,FALSE,FALSE,,,
Meme Video,tax return dreams,MV33,FALSE,,,"One can dream, right? #selfemployedUK #selfassessment #taxseason #UKbusiness #HMRC #taxtips #selfemployedlife #smallbizproblems #ukbusinessowner #accountinghumour #entrepreneurlife #taxrefund #ukbills #selemployedstruggles #businessmemes ",,,,,,,TRUE,tax return dreams,meme tax dreams,FALSE,TRUE,FALSE,FALSE,,,,,1/23/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Hasbulla Laughing meme,MV34,FALSE,,,Rare organised moment.,,,,,,,TRUE,Hasbulla Laughing meme,Meme,FALSE,TRUE,FALSE,FALSE,,,,,1/19/2025,,,,,,,FALSE,FALSE,,,
Meme Video,anxiety,MV35,FALSE,,,"Where is my money, HMRC?!  #TaxTalk #MoneyMatters #KnowYourTaxes #Finance101 #PieTaxApp #UKTaxes #PersonalFinance #TaxSavings #TaxTips #MoneySmart",,,,,,,TRUE,anxiety,anxiety t,FALSE,TRUE,FALSE,FALSE,,,,,5/14/2025,,,,,,,FALSE,FALSE,,,
Meme Video,groot,MV36,FALSE,,,That ‘big money energy’ lasted 3 seconds. #LifeSimplified #MoneyMadeEasy #FinanceTips #SmallBizOwner #SideHustleLife #SelfAssessmentSimplified #IncomeGoals #ViralReels #TrendingNow ,,,,,,,TRUE,groot,groot T,FALSE,TRUE,FALSE,FALSE,,,,,5/21/2025,,,,,,,FALSE,FALSE,,,
Meme Video,So many look good in here,MV37,FALSE,,,Payday Personality Shift. #TaxTips #SmallBusinessUK #PieTax #TaxHack #SaveMoney #BusinessExpenses #SelfEmployedLife #UKTax #TaxDeduction #MoneyMatters,,,,,,,TRUE,So many look good in here,so many look good T,FALSE,TRUE,FALSE,FALSE,,,,,6/4/2025,,,,,,,FALSE,FALSE,,,
Meme Video,minions por que,MV38,FALSE,,,"Yes, hello HMRC? I’d like my £4.37 back please, urgently. #UKTax #TaxTalk #IsItFair #MoneyMatters #TaxSystem #RealOpinions #FinanceChat #TaxDebate #SelfAssessmentUK #PieTax",,,,,,,TRUE,minions por que,minions por que T,FALSE,TRUE,FALSE,FALSE,,,,,6/4/2025,,,,,,,FALSE,FALSE,,,
Meme Video,crowd cheering,MV39,FALSE,,,Overachiever or just traumatised from last year? You decide. #InheritanceTax #UKTaxNews #TaxUpdate #FinanceTalk #PieTaxApp #EstatePlanning #HMRC #TaxFairness #BudgetNews #TaxDebate,,,,,,,TRUE,crowd cheering,CrowdCheering T,FALSE,TRUE,FALSE,FALSE,,,,,5/28/2025,,,,,,,FALSE,FALSE,,,
Meme Video,europe fintech,MV40,FALSE,,,"""🚨 Big news! Pie has been shortlisted for three European Fintech Awards:
🏆 Start-Up of the Year
🏆 Disruptor of the Year
🏆 Accounting Tech of the Year

That’s 10 nominations in 2025, and we’re just getting warmed up. Huge shoutout to our amazing team and community. Let’s keep shaking things up! 🚀💪

#PieTax #FintechAwards #EuropeanFintechAwards #StartUpOfTheYear #AccountingTech #DisruptorOfTheYear #TaxMadeSimple #SelfAssessmentMadeEasy #UKFintech #TeamPie #HMRCDoneRight""",,,,,,,TRUE,europe fintech,,FALSE,TRUE,FALSE,FALSE,,,,,5/22/2025,,,,,,,FALSE,FALSE,,,
Meme Video,groot,MV41,FALSE,,,,,,,,,,TRUE,groot,groot T,FALSE,TRUE,FALSE,FALSE,,,,,5/21/2025,,,,,,,FALSE,FALSE,,,
Meme Video,anxiety,MV42,FALSE,,,"Where is my money, HMRC?!  #TaxTalk #MoneyMatters #KnowYourTaxes #Finance101 #PieTaxApp #UKTaxes #PersonalFinance #TaxSavings #TaxTips #MoneySmart",,,,,,,TRUE,anxiety,anxiety t,FALSE,TRUE,FALSE,FALSE,,,,,5/14/2025,,,,,,,FALSE,FALSE,,,
Meme Video,neil,MV43,FALSE,,,For actors juggling scripts and tax slips – we’ve got your back. 🎥💼 #SelfEmployedLife #ActorLife #FreelancerFinance #TaxMadeEasy #PieTaxApp #TaxTips #HMRC #FinancialFreedom #TaxSmart #SideHustle,,,,,,,TRUE,neil,neil T,FALSE,TRUE,FALSE,FALSE,,,,,5/13/2025,,,,,,,FALSE,FALSE,,,
Meme Video,window tax,MV44,FALSE,,,"Ever wondered why old buildings have bricked-up windows? Yep, blame an 18th-century window tax. 🪟💸 #TaxHistory #WeirdTaxes #UKTrivia #TaxFacts #DidYouKnow #MoneyTalks #PieTaxApp #FinanceUK #HistoryNerd #TaxTrivia",,,,,,,TRUE,window tax,window tax T,FALSE,TRUE,FALSE,FALSE,,,,,5/11/2025,,,,,,,FALSE,FALSE,,,
Meme Video,war tax,MV45,FALSE,,,"Tax trivia time! 💥 The UK’s very first tax law dates back to 1799—and yep, it was to fund a war with Napoleon! Who knew taxes had such dramatic beginnings? 🇬🇧⚔️ #TaxTrivia #UKTaxHistory #PieTaxApp #FunTaxFacts #TaxTok #HMRC #SelfAssessment #TaxTime #NapoleonWars",,,,,,,TRUE,war tax,war tax T,FALSE,TRUE,FALSE,FALSE,,,,,5/9/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Driving with friends,MV46,FALSE,,,POV: You feel financially invincible for 24 hours.#tax #money #finance #hmrc,,,,,,,TRUE,Driving with friends,Driving T,FALSE,TRUE,FALSE,FALSE,,,,,5/7/2025,,,,,,,FALSE,FALSE,,,
Meme Video,pearse,MV47,FALSE,,,eToro meets Pie. 📈📲 Trade and file — all from your phone. Tax stress? Sorted. ✅ #eToroUK #PieTaxApp #InvestAndFile #TaxMadeSimple #MobileTrading #SelfAssessment #TaxReturnsOnTheGo #DigitalTaxTools #SmartMoneyMoves,,,,,,,TRUE,pearse,pearse T,FALSE,TRUE,FALSE,FALSE,,,,,5/6/2025,,,,,,,FALSE,FALSE,,,
Meme Video,So many look good in here,MV48,FALSE,,,Payday Personality Shift. #TaxTips #SmallBusinessUK #PieTax #TaxHack #SaveMoney #BusinessExpenses #SelfEmployedLife #UKTax #TaxDeduction #MoneyMatters,,,,,,,TRUE,So many look good in here,so many look good T,FALSE,TRUE,FALSE,FALSE,,,,,6/11/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Tax Season,MV49,FALSE,,,"Deadlines, breakdowns, and a sprinkle of financial delusion.#UKTax #TaxTalk #IsItFair #MoneyMatters #TaxSystem #RealOpinions #FinanceChat #TaxDebate #SelfAssessmentUK #PieTax",,,,,,,TRUE,Tax Season,tax season T,FALSE,TRUE,FALSE,FALSE,,,,,6/18/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Penguin dance,MV50,FALSE,,,“Dinner? On me. (Up to £6.50 each though)”  #NHSvsTax #UKTaxes #TaxTalkUK #PieTaxApp #MoneyDebates #FreeHealthcareUK #BritishValues #TaxExchange #FinanceChat #SelfAssessmentUK,,,,,,,TRUE,Penguin dance,penguin dance T,FALSE,TRUE,FALSE,FALSE,,,,,7/23/2025,,,,,,,FALSE,FALSE,,,
Meme Video,9quid 2 icecreams,MV51,FALSE,,,,,,,,,,TRUE,9quid 2 icecreams,9 quid 2 ice cream T,FALSE,TRUE,FALSE,FALSE,,,,,6/16/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Ghost and clown Dancing,MV52,FALSE,,, Shots on HMRC :beers: Refund week energy :money_with_wings: #TaxRefundVibes #HMRCWho #PaydayEnergy #RefundSeason,,,,,,,TRUE,Ghost and clown Dancing,Meme t,FALSE,TRUE,FALSE,FALSE,,,,,8/13/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Cat on desk,MV53,FALSE,,,It’s fine. Everything’s fine.... :page_facing_up::skull: Speedrunning adulthood: impossible mode,,,,,,,TRUE,Cat on desk,Cat on desk,FALSE,TRUE,FALSE,FALSE,,,,,8/20/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Ghost Face Meme,MV53,FALSE,,,,,,,,,,TRUE,Ghost Face Meme,Ghost Face,FALSE,TRUE,FALSE,FALSE,,,,,8/6/2025,,,,,,,FALSE,FALSE,,,
Meme Video,back your own money ,MV54,FALSE,,,,,,,,,,TRUE,Take my Money,Take my money,FALSE,TRUE,FALSE,FALSE,,,,,8/27/2025,,,,,,,FALSE,FALSE,,,
Meme Video,HMRC  un0 reverse ,MV55,FALSE,,,"HMRC watching me flex my “refund” like it’s free money :japanese_ogre:
 Next year: uno reverse card activated :credit_card:
#TaxRefund #HMRC #MoneyMeme #UKTax #AdultingIsHard #FinanceHumour",,,,,,https://drive.google.com/file/d/13AYd9i9LlMMU2Z22IlicQdRB822ojf-J/view?usp=drive_link,TRUE,MV55,https://drive.google.com/file/d/1-_akmVqAmhEc5Sh-IjIDyhGY2YMm7TZS/view?usp=drive_link,FALSE,FALSE,FALSE,FALSE,,,,,9/4/2025,,,,,,,FALSE,FALSE,,,
Meme Video,Meme Video 3,MV 3,FALSE,THIS IS NOT OK,When you can’t use your dog as a business expense,But he greets my clients and lowers my stress—he’s basically staff!,#TaxRefund #HMRCHelp #TaxAgent #TaxTips,,,,,27TH MEME,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,FALSE,FALSE,,,
Meme Video,Meme Video 4,MV4,FALSE,,,,,,,,,https://drive.google.com/file/d/1q43NYUpbg5h0ZuC6EAx1nK4QALLPo3TD/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,
Meme Video,Go Piper / Stop Piper,Meme1,FALSE,https://greenscreenmemes.com/go-piper-stop-piper-meme-green-screen/,“Getting a tax refund after filing on time.”,,"Go Piper: A happy office worker at their laptop with £ signs floating around. 
 Stop Piper: A crying calculator surrounded by piles of receipts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meme Video,Go Piper / Stop Piper,Meme2,FALSE,https://greenscreenmemes.com/go-piper-stop-piper-meme-green-screen/,“Claiming that business lunch on expenses.”,“Realising you can’t expense bottomless brunch.”,"Go Piper: A fancy restaurant table with steak and wine. 
 Stop Piper: A brunch table covered in mimosas and pancakes with text like “HMRC says no 🍹.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meme Video,Go Piper / Stop Piper,Meme3,FALSE,https://greenscreenmemes.com/go-piper-stop-piper-meme-green-screen/,“Submitting your tax return before 31 Jan.”,“Procrastinating and getting fined £100 💀.”,"Go Piper: A calendar with “Submitted ✅” on 30 Jan. 
 Stop Piper: A red penalty notice with “£100” circled in dramatic red ink.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meme Video,Go Piper / Stop Piper,Meme4,FALSE,https://greenscreenmemes.com/go-piper-stop-piper-meme-green-screen/,“Getting a refund big enough to pay your overdraft.”,“Finding out you owe HMRC instead 😭.”,"Go Piper: A bank account screenshot showing a juicy balance. 
 Stop Piper: A sad wallet with a moth flying out. Bonus: Add text like “Overdraft? Completed it, mate.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meme Video,Go Piper / Stop Piper,Meme5,FALSE,https://greenscreenmemes.com/go-piper-stop-piper-meme-green-screen/,“Claiming every expense you’re entitled to.”,“Realising you forgot one and left money on the table 💔.”,"Go Piper: A person in sunglasses throwing cash or a glittery “£££ Refund Approved!” message. 
 Stop Piper: Someone staring at an empty piggy bank, looking distraught.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 Tax Advantages UK Business Owners Have That Regular Employees Don’t See:,v240,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax tip / how to,Can You Write Off Your Xmas Party?,V241,FALSE,"""Wondering if your Christmas party can save you money?""","""Find out how you can claim back tax on your Christmas party expenses!""","""Can your business party be a tax break? Let’s dive into the rules behind Christmas party tax deductions. 🎉 #taxsavings #christmasparty""",#taxsavings #christmasparty #moneytips #taxdeductible #businessowner #selfassessment #tax,"""Did you know Christmas parties could save your business money? 🤔 Yes/No""",,,,https://drive.google.com/file/d/1lDrpNlQQXGJ8soXeskP6amIlGG7_SlYk/view?usp=drive_link,TRUE,,https://drive.google.com/file/d/1RBVBkzknKBs39o3F8rFA6JMGXzvgRVQW/view?usp=drive_link,TRUE,,,,,,,,,,,,,,,,,,,
Meme Video,When your refund hits just in time for the weekend plans.,Meme 6,FALSE,When your refund hits just in time for the weekend plans.,,Drinks are on me...but also not me.,"#RefundReady
#WeekendBudget
#MoneyMood
#CelebrateSmart",,,,Kwin,,,,,,,,,,,,,,,,,,,,,,,,
podcast,,POD6,FALSE,Did you know there are 34 income types for self-assessment? Most apps only scratch the surface!,We’re breaking boundaries with the first app to cover all income streams! 🚀,"Struggling to juggle all your income sources? We’ve got you covered! 🎉 From property to dividends, we’re making it easier than ever. Hear about the changes we’ve made to put YOU first. 🎙️✨",#LifeSimplified #MoneyMadeEasy #FinanceTips #SmallBizOwner #SideHustleLife #SelfAssessmentSimplified #IncomeGoals #ViralReels #TrendingNow #PodcastLife,,,,,,TRUE,,,TRUE,TRUE,FALSE,FALSE,,,,,1/14/2025,1/27/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
product video,HMRC shutting down Tax Portal,V96,FALSE,Why is no one talking about this huge HMRC change? It’s a total game-changer for self-assessments!,Big changes are coming are you ready to keep up?,"HMRC is shutting down their self-assessment portal, but don't panic—there's an easier way to handle this! Say hello to Pie Tax, your free, all-in-one app for seamless digital tax filing. 🎉

📲 Ready to make the switch? Hit the link in bio and get started now!",#MakingTaxDigital #FinanceSimplified #TaxSeasonHelp #SmallBusinessLife #MoneyMadeEasy,,,Link,,https://drive.google.com/file/d/1KVwWQAQ4iSxvi6hZP2x1V0vb7QD7BYFn/view?pli=1,TRUE,,https://drive.google.com/file/d/1MthJRUT7MiB48_NuQC6lGpptKIoOOYRG/view?usp=drive_link,FALSE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1jcF-kn-EE5mEI4NFeQEFIRaOTf0eujm6LoltOasoB0c/edit?usp=drivesdk,08/01/2025,,FALSE,,FALSE,,,FALSE,FALSE,,,
Twitter Style Post,Twitter Style post 1,T1,FALSE,,,When you realise the government just gave you back your own money: Thanks for nothing! #taxrefund,,,,,Riya,,TRUE,https://drive.google.com/file/d/14D0hjRO_hNe6euH_oEXGScU7qOSMGw7Y/view?usp=drive_link,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/13IZC3PZHwK1pXegBRAPT9Vkt0El68_3l-i3Z0bl6H6E/edit?usp=drivesdk,11/22/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 2,T2,FALSE,,,Tax refund money really makes you think: Maybe I do deserve a PS5 for surviving this economy!!,,,,,Riya,,TRUE,https://drive.google.com/file/d/1oOKZsyqiVFUwKIcKQUDP_QnzhyGf9Pnl/view?usp=drive_link,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1QVas0aD7FILvbBxt1UjbK0jleisvofxkWel5m2sRBWs/edit?usp=drivesdk,11/24/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 3,T3,FALSE,,,"Sunday mornings hit differently. The coffee tastes better, the world feels quieter, and for a moment, it’s just peace… until the to-do list sneaks in. Enjoy the calm while it lasts.",,,,,Riya,,TRUE,https://drive.google.com/file/d/1StP38S3UBUunRE8bPrW6NRDpjcIRmvoQ/view?usp=drive_link,,TRUE,,,,,,,,,11/23/2024,,,,,,,,,,
Twitter Style Post,Twitter Style post 4,T4,FALSE,,,Keep your expenses clean – your spreadsheets (and coffee intake) will thank you. 📊☕ #TaxTips #FreelancerLife,,,,,Riya,,TRUE,https://drive.google.com/file/d/10LMXyFdi0XztqtNzjaEmIiYmDaIo1KoO/view?usp=drive_link,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1ChR2Cy3THTT60JBF_6kG5nvNOIpR-CWTPl02maS2VRk/edit?usp=drivesdk,11/29/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 5,T5,FALSE,,,"Less paperwork, more dunking cookies in your tea. 🍵#taxtip #pietax #finance #timeisprecious",,,,,Riya,,TRUE,https://drive.google.com/file/d/1k0AjDaGY-q7ygBnqBGkbD2dnDNorjr-K/view?usp=drive_link,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1hlh0JTnUOTdC1EUqVX7uj_NJTOQ3q6yMRzUD9iPlC1M/edit?usp=drivesdk,12/1/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 6,T6,FALSE,,,"Friday evening magic: wine in hand, emails ignored, and Monday is a distant thought. Pure bliss. 🍷✨ #WeekendMode ",,,,,Riya,,TRUE,https://drive.google.com/file/d/1ZTxPehdZPOR7KnnSx5R2mZIorLwryLyx/view?usp=drive_link,,TRUE,FALSE,FALSE,FALSE,,,,,,11/29/2024,,,,,,,,,,
Twitter Style Post,Twitter Style post 7,T7,FALSE,,,Because productivity starts with a good brew! #FreelancerLife #TaxDeductions,,,,,Riya,,TRUE,https://drive.google.com/file/d/1_T9kS35PKyEgSmU2ZaC1Nodv9268UciU/view?usp=drive_link,,TRUE,FALSE,FALSE,FALSE,,,,,,12/1/2024,,,,,,,,,,
Twitter Style Post,Twitter Style post 8,T8,FALSE,,,"Whether it’s missing receipts or confusing forms, we’re here to make sure your tax return doesn’t end in tears.#TaxMadeSimple #SelfAssessment",,,,,Riya,,TRUE,https://drive.google.com/file/d/1cbBioV2nceeXyZfiVZQ46GbGU9ym5DN7/view?usp=drive_link,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1PlRPGeftDZKAGN4sH-7aw6I1xxlGOSFFn5TVj9SlmCQ/edit?usp=drivesdk,12/6/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 9,T9,FALSE,,,"January 30th panic is no fun! Plan ahead, stay organised, and make tax season a breeze. ✅ #TaxTips #StayAhead #TaxSeason",,,,,Riya,,TRUE,https://drive.google.com/file/d/1NxVQz83iHK4iaJN0WjFMCC4HB89ENav_/view?usp=drive_link,,TRUE,FALSE,FALSE,FALSE,,,,,,12/8/2024,,,,,,,,,,
Twitter Style Post,Twitter Style post 10,T10,FALSE,,,"Mordor may have been scary, but have you ever had to deal with HMRC? 💀 #TaxRings #Tax",,,,,Riya,,TRUE,https://drive.google.com/file/d/1AJtOdDI2JVFEgWaA6kGwi8UGQtJLTYOU/view?usp=drive_link,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1Rh80vcAlnayuOyjpa4U9PpKMSiq3qNyd2tfo1Ae9OSA/edit?usp=drivesdk,12/13/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 11,T11,FALSE,,,Nothing beats a well planned day and a cup of tea to keep everything running smoothly. Here's to productivity and a little peace of mind. 📆☕,,,,,Riya,,TRUE,https://drive.google.com/file/d/1_1xQt2NL4eCgjLFsFgr7RqzImKYMxLtS/view?usp=drive_link,,TRUE,FALSE,FALSE,FALSE,,,,,,12/9/2024,,,,,,,,,,
Twitter Style Post,Twitter Style post 12,T12,FALSE,,,Every year: searching for that one receipt like it's the Holy Grail. 🏴‍☠️💸 #TaxSeasonProblems #ReceiptsEverywhere,,,,,Riya,,TRUE,https://drive.google.com/file/d/1HTx9m30jummp5ZUNGtFR_vyB2XUilI3F/view?usp=drive_link,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/191AqcSckhyu1AIm8NUIGMtHksQyRFmDoutNPY9eS4bc/edit?usp=drivesdk,12/20/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 13,T13,FALSE,,,"Tis the season to procrastinate, right? 🎄 What’s your go to festive excuse for dodging the self-assessment? 🎁🍿 Let us know in the comments! #SelfAssessment #FestiveProcrastination #PieTax",,,,,Riya,,TRUE,27th ,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1Tsm6lqhXuLEmFNQpQHdzrSTT58D_K34lVUHwq7YtCro/edit?usp=drivesdk,12/27/2024,,,,,,,,,,,
Twitter Style Post,Twitter Style post 14,T14,FALSE,,,Tax relief? More like tax relieved. #DoneAndDusted,,,,,Riya,,TRUE,3 Jan,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1fmnssaVaPyeVp9rou0kSwCbprgnSHmqyXOJGOFQKq9w/edit?usp=drivesdk,1/3/2025,,,,,,,,,,,
Twitter Style Post,Twitter Style post 15,T15,FALSE,,,2024: The year of saying 'best regards'... and actually meaning it. #FreelanceFails,,,,,Riya,,TRUE,10th Jan,,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1BeZLWvILYIlnH8TAasBjubLWNnZxfI-jfttOFm3lXsU/edit?usp=drivesdk,1/10/2025,,,,,,,,,,,
birthday post,Birthday Post,BP,FALSE,,,"🎉 30,000 downloads. 169 countries. One year old today! Pie - The Self Assessment App is celebrating its first birthday! 🥳 It’s been a tough but rewarding journey building a tool to simplify one of the most complex tax systems in the world. 🌍 With 4,500 screens and only 15% of self-assessment functionality done, we’re just getting started. 🚀 November alone saw 100% week-on-week growth, proving the demand for accessible, digital tax solutions! 📈 Thank you to our incredible team, partners, and supporters for making this possible. Here’s to more milestones ahead! 🥧🎉 #HappyBirthdayPie #MakingTaxDigital #Startups",,,,,,,TRUE,,https://drive.google.com/drive/folders/1ZFlevDyXNwZbHz7H7zGO5ZqXLP6b4EqX?usp=drive_link,,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1fgIYcDdAHE_jqACxwVR3dI1gF7TbYUMNcYiVwi6dpsQ/edit?usp=drivesdk,12/2/2024,,,,,,,,,,,
Tax tip / how to,Why Property Taxes are rising?,Short 1,FALSE,,,"Why are property taxes rising in the UK? 🤔

Feeling overwhelmed by taxes? Comment 'TAX' to get expert advice on saving money, staying compliant with HMRC, and managing your personal taxes",#uktax #taxtips #taxhacks #incometax #incometaxreturn #capitalgains #capitalgainstax #inheritancetax #propertytax #propertytaxes #sdlt #hmrc #uktaxtips #uktaxhacks #ukincometax #ukpropertytax #ukinheritancetax #ukcapitalgainstax #ukincometaxloopholes #ukincometaxtips,,,Skript,,https://drive.google.com/file/d/1i3avvaf-Y_eWbMBJbymG2pnGYhjz5vmP/view?usp=drive_link,TRUE,https://drive.google.com/file/d/1i3avvaf-Y_eWbMBJbymG2pnGYhjz5vmP/view?usp=drive_link,https://drive.google.com/drive/folders/1Wlsrden2XgfHIQAJHDZ_3TzTC6Vk8ksb?usp=drive_link,TRUE,FALSE,FALSE,FALSE,,,,,,1/8/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,6 Things That Could Trigger an HMRC Investigation ,Short 3,FALSE,,,"Could HMRC investigate you? Be prepared with these 6 tips 🔎

Receiving notice of an HMRC investigation can feel stressful and confusing, but it’s not as uncommon as you might think. Whether you’re an individual taxpayer or a business owner, it’s important to understand why these investigations happen and how to handle them confidently.

1. Discrepancies in Tax Returns
2. Unexplained Wealth or Lifestyle
3. Cash Transactions
4. Incomplete or Inaccurate Record-Keeping
5. Connections to Offshore Accounts or Assets
6. Employment and Business Structure

If you are being investigated, do these 6 things! 👇

1. Understand the Reason for the Investigation
2. Gather All Relevant Records
3️. Seek Professional Advice
4️. Be Transparent and Cooperative
5️. Review Your Filing Practices
6️. Stay Calm and Focused

Want to get your taxes in order? Comment “TAX” to gain access to free expert tips and the latest tax regulations and industry trends!","#uktax #taxtips #taxhacks #incometax #incometaxreturn #capitalgains #capitalgainstax #inheritancetax #propertytax #propertytaxes #sdlt #hmrc #uktaxtips #uktaxhacks #ukincometax #ukpropertytax #ukinheritancetax #ukcapitalgainstax #ukincometaxloopholes #ukincometaxtips",,,https://docs.google.com/document/d/15SnfIo1JNaKQrRrlBZ515CK5o4X6P94C2wp-tIzDqg8/edit?tab=t.0,,https://drive.google.com/drive/folders/1xRAN_-uGD6ggFI2p_IqYNmV2AqlZAOMp?usp=drive_link,TRUE,https://drive.google.com/file/d/1ZYanDznf3G9ajKAQ7z5pw7FPWq6RrRGD/view?usp=drive_link,Short 3,FALSE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1WwQKO5US2GhwQgyrXS46KabAWTtf54Zivgvdse2XoAg/edit?usp=drivesdk,1/9/2025,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,5 Things you need to know about Taxes ,Short 4,FALSE,,,"5 things you need to know about your taxes ✅

Want a better understanding of UK taxes? At Pie, we keep it simple! Comment ‘TAX’ to unlock FREE expert tax tips, grow your wealth, and get updates tailored just for you!",#uktax #taxtips #taxhacks #incometax #incometaxreturn #capitalgains #capitalgainstax #inheritancetax #propertytax #propertytaxes #sdlt #hmrc #uktaxtips #uktaxhacks #ukincometax #ukpropertytax #ukinheritancetax #ukcapitalgainstax #ukincometaxloopholes #ukincometaxtips,,,https://docs.google.com/document/d/1goceFNolebqI568vykhR0Si_wFl4kDy99AYE7fVuAy0/edit?tab=t.0,,https://drive.google.com/file/d/1AEM033qlqUCwx1LNuFDkzIt11fJmDXv6/view?usp=drive_link,TRUE,https://drive.google.com/file/d/1AEM033qlqUCwx1LNuFDkzIt11fJmDXv6/view?usp=drive_link,https://drive.google.com/drive/folders/1hXo4fT2ArrkDu8ZwQYvRKVxeIK_TxguC?usp=drive_link,TRUE,FALSE,FALSE,FALSE,,,,,,1/10/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
